epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,129.222,0.88108,1.2052,0.0044,0.94572,0.61231,0.83111,0.56225,1.27199,2.07951,0.00939,0.000358238,0.000358238,0.000358238
72,130.944,0.89352,1.35458,0.00493,0.95223,0.64452,0.83277,0.57969,1.22323,2.07691,0.00908,0.000351639,0.000351639,0.000351639
73,132.709,0.88136,1.27089,0.00434,0.95223,0.64452,0.83277,0.57969,1.22323,2.07691,0.00908,0.000344709,0.000344709,0.000344709
74,134.482,0.89217,1.29998,0.0044,0.95223,0.64452,0.83277,0.57969,1.22323,2.07691,0.00908,0.000337449,0.000337449,0.000337449
75,136.295,0.83699,1.51798,0.00468,0.95305,0.63386,0.83494,0.58047,1.20022,2.04933,0.00885,0.000329859,0.000329859,0.000329859
76,138.016,0.85805,1.26632,0.00457,0.95305,0.63386,0.83494,0.58047,1.20022,2.04933,0.00885,0.000321939,0.000321939,0.000321939
77,139.725,0.85458,1.25141,0.00457,0.95305,0.63386,0.83494,0.58047,1.20022,2.04933,0.00885,0.000313689,0.000313689,0.000313689
78,141.398,0.86758,1.49778,0.0053,0.95554,0.66233,0.84191,0.58796,1.20301,2.02047,0.00886,0.000305109,0.000305109,0.000305109
79,143.156,0.93057,1.22959,0.00483,0.95554,0.66233,0.84191,0.58796,1.20301,2.02047,0.00886,0.000296199,0.000296199,0.000296199
80,144.996,0.9017,1.26084,0.00422,0.95554,0.66233,0.84191,0.58796,1.20301,2.02047,0.00886,0.000286959,0.000286959,0.000286959
81,146.77,0.82162,1.23695,0.00538,0.95616,0.65794,0.84499,0.57563,1.24505,1.99479,0.00927,0.000277389,0.000277389,0.000277389
82,148.588,0.90788,1.29155,0.00411,0.95616,0.65794,0.84499,0.57563,1.24505,1.99479,0.00927,0.000267488,0.000267488,0.000267488
83,150.295,0.90941,1.28646,0.00497,0.95616,0.65794,0.84499,0.57563,1.24505,1.99479,0.00927,0.000257258,0.000257258,0.000257258
84,152.123,0.87769,1.28059,0.0048,0.95656,0.66633,0.84187,0.56733,1.28884,1.97755,0.0098,0.000246698,0.000246698,0.000246698
85,153.877,0.89709,1.19902,0.00433,0.95656,0.66633,0.84187,0.56733,1.28884,1.97755,0.0098,0.000235807,0.000235807,0.000235807
86,155.515,0.90828,1.48254,0.00584,0.95656,0.66633,0.84187,0.56733,1.28884,1.97755,0.0098,0.000224587,0.000224587,0.000224587
87,157.225,0.85838,1.19152,0.00385,0.95656,0.66633,0.84187,0.56733,1.28884,1.97755,0.0098,0.000213036,0.000213036,0.000213036
88,158.987,0.96784,1.28832,0.004,0.90562,0.67251,0.83453,0.55801,1.3528,1.90228,0.01028,0.000201155,0.000201155,0.000201155
89,160.705,0.96043,1.71919,0.00681,0.90562,0.67251,0.83453,0.55801,1.3528,1.90228,0.01028,0.000188944,0.000188944,0.000188944
90,162.417,0.92139,1.26898,0.00482,0.90562,0.67251,0.83453,0.55801,1.3528,1.90228,0.01028,0.000176404,0.000176404,0.000176404
91,164.118,0.91393,1.76761,0.00615,0.90562,0.67251,0.83453,0.55801,1.3528,1.90228,0.01028,0.000163533,0.000163533,0.000163533
92,165.817,0.83557,1.83996,0.00624,0.84156,0.71623,0.83638,0.54617,1.37714,1.84425,0.01056,0.000150332,0.000150332,0.000150332
93,167.529,0.82693,1.68825,0.00511,0.84156,0.71623,0.83638,0.54617,1.37714,1.84425,0.01056,0.000136801,0.000136801,0.000136801
94,169.241,0.94609,1.91353,0.00591,0.84156,0.71623,0.83638,0.54617,1.37714,1.84425,0.01056,0.00012294,0.00012294,0.00012294
95,170.937,0.88808,1.72417,0.0057,0.84156,0.71623,0.83638,0.54617,1.37714,1.84425,0.01056,0.000108748,0.000108748,0.000108748
96,172.666,0.88983,1.68949,0.00502,0.82707,0.72442,0.83919,0.54317,1.3774,1.7845,0.0106,9.42272e-05,9.42272e-05,9.42272e-05
97,174.382,0.90336,1.76328,0.00475,0.82707,0.72442,0.83919,0.54317,1.3774,1.7845,0.0106,7.93759e-05,7.93759e-05,7.93759e-05
98,176.007,0.83827,1.71807,0.0047,0.82707,0.72442,0.83919,0.54317,1.3774,1.7845,0.0106,6.41945e-05,6.41945e-05,6.41945e-05
99,177.749,0.8254,1.71205,0.00506,0.82707,0.72442,0.83919,0.54317,1.3774,1.7845,0.0106,4.86831e-05,4.86831e-05,4.86831e-05
100,179.434,0.93697,1.88051,0.00758,0.7905,0.72036,0.83766,0.5365,1.36979,1.72119,0.01049,3.28416e-05,3.28416e-05,3.28416e-05
